"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","32.5","%","68318","22197","38.00%","27.00%","279"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.3","%","15,984,082","2,122,931","13.50%","13.00%","71,842"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","15.1","%","170,500","25,757","19.50%","10.70%","627"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","11.7","%","1,228,063","143,599","13.20%","10.20%","4,604"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","14.3","%","488,887","69,761","16.90%","11.60%","1,690"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","16.4","%","397,722","65,051","19.40%","13.30%","1,391"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.3","%","2,285,172","304,168","14.50%","12.20%","8,312"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.3","%","18,293,928","2,435,542","13.50%","13.10%","80,238"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","13.9","%","6,279,971","872,258","14.30%","13.50%","29,918"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","11.5","%","95,575","11,007","16.80%","6.30%","355"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","23.2","%","517,294","120,165","26.10%","20.40%","2,097"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","12.0","%","273,369","32,922","15.20%","8.90%","1,000"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","25.6","%","203,685","52,164","30.40%","20.80%","791"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","19.8","%","1,089,923","216,258","21.70%","17.90%","4,243"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","14.8","%","7,379,691","1,089,199","15.10%","14.40%","34,193"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","18.4","%","2,585,312","476,429","19.10%","17.70%","12,533"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","19.7","%","31,397","6,177","31.00%","8.30%","118"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","30.8","%","124,486","38,301","37.00%","24.50%","522"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","22.8","%","90,926","20,696","30.00%","15.50%","321"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","30.7","%","36,156","11,086","42.90%","18.40%","137"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","27.0","%","282,963","76,260","31.10%","22.80%","1,097"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","19.3","%","2,870,465","554,155","20.00%","18.60%","13,635"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","25.2","%","2,971,755","748,436","25.90%","24.50%","14,877"
