"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","532","845574","763199","32225","28308","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","54","85187","79527","17890","16324","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","188","299337","281821","464521","437627","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4547","492407","425906","101927","89207","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","11","1182","957","616","507","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","219","23716","20079","6817","5971","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1843","199631","174604","28341","24829","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1231","133286","120775","20027","18132","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","187","20202","16099","2793","2205","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","156","16924","13634","3750","3052","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","47","5052","4659","494","406","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","36","3857","3347","393","311","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","528","57181","45204","2983","2414","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","36","3948","3196","815","660","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","172","18678","16346","34711","30579","5646","5216"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4386","220162","198310","52615","47898","2617","2530"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","640","32138","29087","9753","8822","2617","2530"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1390","69744","63099","9018","8245","2617","2530"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","1019","51123","46312","6598","6213","2617","2530"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","223","11206","9242","1758","1456","2617","2530"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
