"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Hertfordshire","367","1044","35.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Hertfordshire","116","1044","11.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Humberside","744","1813","41.0"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Humberside","731","1813","40.3"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Humberside","338","1813","18.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Kent","843","1829","46.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Kent","702","1829","38.4"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Kent","284","1829","15.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Lancashire","1423","2914","48.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Lancashire","969","2914","33.3"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Lancashire","522","2914","17.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Leicestershire","447","884","50.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Leicestershire","263","884","29.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Leicestershire","174","884","19.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Lincolnshire","337","690","48.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Lincolnshire","277","690","40.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Lincolnshire","76","690","11.0"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Merseyside","1265","2653","47.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Merseyside","1110","2653","41.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Merseyside","278","2653","10.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Metropolitan Police","3127","7251","43.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Metropolitan Police","3031","7251","41.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Metropolitan Police","1093","7251","15.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Norfolk","613","1015","60.4"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Norfolk","280","1015","27.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Norfolk","122","1015","12.0"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","North Wales","414","803","51.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","North Wales","248","803","30.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","North Wales","141","803","17.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","North Yorkshire","483","977","49.4"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","North Yorkshire","300","977","30.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","North Yorkshire","194","977","19.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Northamptonshire","348","776","44.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Northamptonshire","285","776","36.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Northamptonshire","143","776","18.4"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Northumbria","1258","2423","51.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Northumbria","796","2423","32.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Northumbria","369","2423","15.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Nottinghamshire","740","1540","48.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Nottinghamshire","639","1540","41.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Nottinghamshire","161","1540","10.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","South Wales","1143","2717","42.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","South Wales","1027","2717","37.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","South Wales","547","2717","20.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","South Yorkshire","852","1875","45.4"
