"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","20","64,467","","","",""
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","5","64,467","","","",""
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","10","64,467","","","",""
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","3","64,467","","","",""
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","13","64,467","","","",""
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","5","64,467","","","",""
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","15","64,467","","","",""
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","3","64,467","","","",""
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","3","64,467","","","",""
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","27","64,467","","","",""
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","64,467","","","",""
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","1","64,467","","","",""
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","64,467","","","",""
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","2","64,467","","","",""
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","2","64,467","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","7","64,467","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","6","64,467","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","0","64,467","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","0","64,467","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","1","64,467","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","64,467","","","",""
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","60","61,665","","","",""
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","60","61,665","","","",""
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","10","61,665","","","",""
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","20","61,665","","","",""
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","56","61,665","","","",""
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","20","61,665","","","",""
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","5","61,665","","","",""
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","9","61,665","","","",""
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","61,665","","","",""
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","13","61,665","","","",""
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","5","61,665","","","",""
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","15","61,665","","","",""
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","61,665","","","",""
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","61,665","","","",""
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","28","61,665","","","",""
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","61,665","","","",""
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","1","61,665","","","",""
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","61,665","","","",""
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","61,665","","","",""
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","2","61,665","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","7","61,665","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","7","61,665","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","0","61,665","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","0","61,665","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","1","61,665","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","61,665","","","",""
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","45","2,802","","","",""
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","44","2,802","","","",""
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","14","2,802","","","",""
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","17","2,802","","","",""
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","41","2,802","","","",""
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","26","2,802","","","",""
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","9","2,802","","","",""
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","13","2,802","","","",""
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","2","2,802","","","",""
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","13","2,802","","","",""
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","3","2,802","","","",""
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","12","2,802","","","",""
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","2","2,802","","","",""
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","1","2,802","","","",""
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","10","2,802","","","",""
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","2,802","","","",""
