"Title","Employment by qualification level"
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","58.90%","%","119546","70467","63.20%","54.70%","512"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","77.90%","%","32,020,160","24,930,954","78.10%","77.70%","150,840"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","72.70%","%","377,246","274,150","76.30%","69.00%","1,425"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","68.10%","%","2,423,042","1,650,334","69.60%","66.60%","9,651"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","71.70%","%","1,118,189","801,503","73.90%","69.50%","3,998"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","67.20%","%","815,176","548,034","69.90%","64.60%","3,020"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","69.20%","%","4,733,653","3,274,021","70.20%","68.10%","18,094"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","66.80%","%","47803","31941","78.40%","55.30%","160"
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","76.70%","%","36,801,616","28,236,916","76.90%","76.50%","169,094"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","90.10%","%","5,861,493","5,279,962","90.50%","89.70%","22,878"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","88.10%","%","77,168","68,007","94.80%","81.40%","225"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","91.50%","%","626,712","573,242","93.30%","89.60%","2,138"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","88.70%","%","216,205","191,774","92.40%","85.00%","699"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","85.90%","%","219,887","188,842","90.00%","81.80%","687"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","89.60%","%","1,139,972","1,021,865","91.20%","88.10%","3,749"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","90.00%","%","7,007,667","6,307,422","90.40%","89.60%","26,648"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","86.10%","%","3,127,266","2,693,656","86.70%","85.50%","12,993"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","81.50%","%","32,862","26,767","93.30%","69.60%","103"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","77.60%","%","115,868","89,871","84.00%","71.10%","401"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","84.70%","%","64,407","54,548","92.50%","76.90%","203"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","79.90%","%","34,205","27,331","92.00%","67.80%","106"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","80.30%","%","247,341","198,516","84.60%","75.90%","813"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","85.70%","%","3,376,287","2,893,779","86.30%","85.10%","13,814"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","80.80%","%","2,722,905","2,200,255","81.50%","80.10%","11,523"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","69.30%","%","39,222","27,191","82.10%","56.60%","126"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","76.10%","%","120,506","91,653","82.40%","69.70%","431"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","66.80%","%","64,522","43,099","77.10%","56.50%","201"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","70.00%","%","32,529","22,756","83.80%","56.20%","106"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","71.90%","%","256,778","184,698","76.70%","67.20%","864"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","80.00%","%","2,981,335","2,386,471","80.80%","79.30%","12,392"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","78.40%","%","1,818,836","1,426,234","79.30%","77.50%","7,435"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","78.40%","%","104,104","81,665","85.00%","71.90%","378"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","66.80%","%","50,575","33,770","78.30%","55.20%","159"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","72.00%","%","194,933","140,353","77.40%","66.60%","674"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","77.80%","%","2,014,186","1,567,004","78.70%","76.90%","8,110"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","83.60%","%","1146274","957961","84.60%","82.50%","4837"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","82.40%","%","182190","150092","87.00%","77.70%","643"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","78.40%","%","59637","46757","87.20%","69.60%","211"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","77.90%","%","70464","54901","86.20%","69.60%","238"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","80.40%","%","323286","259973","84.10%","76.80%","1130"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","82.80%","%","1472768","1219563","83.80%","81.90%","5981"
