"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Cumbria","Police Force Area","144"," 13,685 ","8,581","16.78","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Cumbria","Police Force Area","23"," 13,685 ","1,219","18.87","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","Cumbria","Police Force Area","12"," 13,685 ","65","184.62","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","Cumbria","Police Force Area","11"," 13,685 ","452","24.34","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Cumbria","Police Force Area","21"," 13,685 ","558","37.63","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","Cumbria","Police Force Area","18"," 13,685 ","486","37.04","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","Cumbria","Police Force Area","9"," 13,685 ","373","24.13","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","Cumbria","Police Force Area","11"," 13,685 ","141","78.01","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","Cumbria","Police Force Area","15"," 13,685 ","1,153","13.01","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","Cumbria","Police Force Area","18"," 13,685 ","892","20.18","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","Cumbria","Police Force Area","3"," 13,685 ","881","3.41","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","Cumbria","Police Force Area","5"," 13,685 ","314","15.92","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Cumbria","Police Force Area","11"," 13,685 ","751","14.65","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","Cumbria","Police Force Area","417"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","Cumbria","Police Force Area","14"," 13,685 ","316","44.30","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Derbyshire","Police Force Area","12,612"," 14,875 ","924,420","13.64","84.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Derbyshire","Police Force Area","74"," 14,875 ","5,473","13.52","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Derbyshire","Police Force Area","494"," 14,875 ","19,952","24.76","3.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Derbyshire","Police Force Area","119"," 14,875 ","5,346","22.26","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","Derbyshire","Police Force Area","62"," 14,875 ","1,073","57.78","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","Derbyshire","Police Force Area","29"," 14,875 ","4,262","6.80","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Derbyshire","Police Force Area","92"," 14,875 ","2,226","41.33","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","Derbyshire","Police Force Area","13"," 14,875 ","887","14.66","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","Derbyshire","Police Force Area","86"," 14,875 ","4,459","19.29","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","Derbyshire","Police Force Area","270"," 14,875 ","4,558","59.24","1.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","Derbyshire","Police Force Area","14"," 14,875 ","3,019","4.64","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","Derbyshire","Police Force Area","159"," 14,875 ","15,039","10.57","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","Derbyshire","Police Force Area","59"," 14,875 ","3,825","15.42","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","Derbyshire","Police Force Area","34"," 14,875 ","1,211","28.08","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Derbyshire","Police Force Area","267"," 14,875 ","7,089","37.66","1.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","Derbyshire","Police Force Area","267"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","Derbyshire","Police Force Area","491"," 14,875 ","15,599","31.48","3.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Devon & Cornwall","Police Force Area","16,080"," 16,876 ","1,582,730","10.16","95.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Devon & Cornwall","Police Force Area","0"," 16,876 ","6,948","0.00","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Devon & Cornwall","Police Force Area","317"," 16,876 ","37,628","8.42","1.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Devon & Cornwall","Police Force Area","48"," 16,876 ","5,730","8.38","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","Devon & Cornwall","Police Force Area","58"," 16,876 ","516","112.40","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","Devon & Cornwall","Police Force Area","18"," 16,876 ","3,756","4.79","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Devon & Cornwall","Police Force Area","56"," 16,876 ","3,840","14.58","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","Devon & Cornwall","Police Force Area","13"," 16,876 ","1,308","9.94","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","Devon & Cornwall","Police Force Area","44"," 16,876 ","2,384","18.46","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","Devon & Cornwall","Police Force Area","86"," 16,876 ","1,206","71.31","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","Devon & Cornwall","Police Force Area","18"," 16,876 ","5,711","3.15","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","Devon & Cornwall","Police Force Area","18"," 16,876 ","3,988","4.51","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","Devon & Cornwall","Police Force Area","23"," 16,876 ","5,462","4.21","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","Devon & Cornwall","Police Force Area","24"," 16,876 ","1,998","12.01","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Devon & Cornwall","Police Force Area","64"," 16,876 ","4,345","14.73","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","Devon & Cornwall","Police Force Area","921"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","Devon & Cornwall","Police Force Area","9"," 16,876 ","668","13.47","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Dorset","Police Force Area","6,058"," 6,924 ","683,800","8.86","87.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Dorset","Police Force Area","17"," 6,924 ","4,086","4.16","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Dorset","Police Force Area","269"," 6,924 ","26,751","10.06","3.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Dorset","Police Force Area","52"," 6,924 ","5,144","10.11","0.8%","","","","","",""
