"Measure","Physical Activity Level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography Code","Geography type","Gender","Gender_type","Age Bracket","Age Bracket type","NS SEC","NS SEC type","Value","Denominator","Numerator","Upper CI","Lower CI","Number of Respondents"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.139208419","7165.071671","997.4383014","0.155236547","0.124591116","3830"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.132530676","4542.20536","601.9815484","0.15007743","0.116753635","2753"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","160"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.160213714","1414.343236","226.597183","0.209847563","0.120528694","546"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.207334646","419.6109787","86.99989365","0.316119474","0.128927948","162"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","24"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","75"
"Percentage of people at each activity level","Fairly active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","110"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.101604576","25733.81017","2614.672863","0.10887774","0.0947656","13663"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.092701792","17896.54184","1659.041499","0.100465043","0.085481426","10510"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.087407688","1282.015082","112.0579742","0.115008895","0.065937016","737"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.140101351","3403.630376","476.8532138","0.169361471","0.115195354","1186"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.117591767","1232.257415","144.9033274","0.16107788","0.08466083","476"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","172"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.099438985","933.8547414","92.861568","0.145191716","0.066974212","337"
"Percentage of people at each activity level","Fairly active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.13396718","573.8608931","76.87852546","0.20745772","0.08375886","245"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","60.90%","189999","115774","61.30%","60.60%","192623"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","61.40%","154220","94753","61.80%","61.10%","167292"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","64.60%","10590","6843","66.00%","63.20%","9898"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","54.10%","13828","7474","55.70%","52.40%","7984"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","55.10%","4613","2541","57.80%","52.30%","2910"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","55.10%","1429","787","59.40%","50.60%","1057"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","69.10%","2986","2063","71.90%","66.10%","1982"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","56.30%","2332","1312","60.00%","52.50%","1500"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.40%","92380","58576","63.90%","62.90%","84660"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.90%","74297","47459","64.40%","63.30%","73864"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","65.40%","5060","3311","67.60%","63.20%","3988"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","58.60%","7600","4454","61.00%","56.20%","3787"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","60.70%","2152","1307","65.00%","56.30%","1149"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","57.30%","700","401","63.50%","50.90%","437"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","70.20%","1389","975","74.50%","65.60%","771"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","56.60%","1182","669","62.00%","51.00%","664"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","58.70%","97272","57099","59.10%","58.30%","107612"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","59.30%","79620","47205","59.70%","58.80%","93117"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.90%","5524","3529","65.70%","62.00%","5903"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","48.60%","6213","3018","50.80%","46.40%","4183"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","50.30%","2452","1234","53.70%","47.00%","1750"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","53.10%","725","385","59.10%","47.00%","617"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","68.20%","1591","1085","71.90%","64.20%","1207"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","56.10%","1147","643","61.10%","50.90%","835"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","60.40%","16409","9903","61.30%","59.40%","21913"
